1000 4000
2 432 5
440 339 166
580 771 496
170 618 518
605 915 220
739 678 265
624 446 878
856 842 80
673 351 984
582 708 587
35 866 373
604 772 495
199 480 585
933 336 750
310 86 689
336 701 679
760 762 295
230 276 968
655 797 661
857 396 960
289 156 476
491 501 338
435 983 961
529 159 565
169 121 841
637 765 194
280 457 186
337 744 866
29 871 177
360 791 520
889 795 889
327 902 369
810 362 666
342 521 416
292 731 974
385 431 823
594 455 316
150 164 677
632 675 844
728 151 387
265 959 130
33 938 347
213 977 29
325 322 99
313 496 937
317 456 124
227 749 409
138 717 734
476 96 983
879 374 448
346 700 244
146 176 508
802 665 421
203 33 733
77 957 675
170 225 109
710 5 772
541 765 771
822 118 71
158 28 689
499 160 472
795 210 558
883 541 218
154 636 24
564 747 29
250 552 206
234 891 891
623 890 722
627 823 315
738 453 518
244 14 904
943 630 407
886 634 288
982 535 263
549 80 413
774 790 140
511 197 45
748 239 509
204 691 138
798 528 747
270 404 974
878 233 312
290 810 263
236 809 536
183 210 305
960 90 68
684 277 761
81 677 910
336 683 665
760 520 243
320 661 615
9 865 368
265 52 684
980 600 352
113 994 740
438 388 624
243 547 733
816 116 809
600 374 742
178 606 8
33 382 560
287 673 971
184 616 552
438 311 331
514 121 286
494 773 732
44 768 70
151 60 922
597 417 707
211 324 308
393 297 733
659 399 636
36 876 67
417 260 697
283 95 530
358 388 317
450 398 386
803 684 580
143 151 396
860 395 906
880 644 75
648 619 819
996 104 118
616 372 403
391 275 481
66 845 399
395 283 174
513 839 255
221 751 630
19 884 519
938 220 531
64 283 115
876 75 448
432 681 995
1 699 927
590 454 554
760 824 495
421 888 530
687 402 983
551 843 477
817 858 596
431 947 58
360 923 549
821 67 587
905 856 486
71 258 989
572 850 473
502 810 429
333 429 247
796 957 934
191 83 169
175 288 504
548 219 880
879 828 939
679 101 374
538 356 132
558 276 325
320 168 452
505 220 961
13 843 130
142 145 934
950 66 496
132 709 951
973 697 668
448 12 210
11 192 215
5 118 830
252 289 554
806 653 403
437 657 374
884 900 125
849 238 519
206 168 767
262 979 34
643 593 896
837 10 703
464 793 856
217 580 803
789 302 24
383 624 62
723 543 875
494 589 712
576 364 606
577 402 848
651 378 494
907 212 387
176 90 67
252 90 310
345 296 569
914 459 912
294 339 699
495 251 772
908 753 340
887 189 276
813 162 5
321 988 59
323 938 461
823 915 374
61 988 419
550 53 706
791 940 222
904 600 240
171 923 651
712 326 519
382 943 919
386 522 24
12 201 472
676 32 700
15 76 357
560 24 572
719 697 283
540 234 334
961 272 518
688 616 817
463 256 64
108 850 759
808 637 615
852 166 349
41 338 90
497 272 922
633 374 680
462 448 720
247 723 26
567 63 715
436 547 74
787 253 974
787 688 159
919 211 235
131 353 648
576 45 324
481 817 986
135 996 608
392 222 432
304 795 416
323 915 471
948 869 16
672 140 387
421 488 608
922 500 71
423 500 468
789 62 692
906 581 891
28 286 612
378 983 181
162 126 545
861 117 27
58 258 522
996 281 760
652 862 181
249 869 523
908 893 601
812 702 478
94 780 334
701 487 101
847 183 109
794 289 868
690 256 835
172 986 308
999 710 411
746 38 612
780 665 67
362 338 712
698 197 901
109 711 127
458 763 756
554 596 251
131 829 177
557 457 729
118 202 945
319 351 239
724 193 133
213 729 750
287 765 234
736 885 753
207 386 300
937 916 80
875 972 238
17 284 151
408 453 68
106 533 139
675 265 928
434 28 777
824 183 924
861 899 148
913 687 620
276 241 868
41 601 249
955 822 201
80 684 134
137 301 94
566 685 804
545 227 475
982 408 890
233 820 369
989 661 152
168 31 340
114 698 655
593 866 727
423 211 795
366 234 755
533 105 46
247 271 564
708 803 219
302 78 623
984 353 929
286 132 116
924 290 675
533 141 550
297 462 458
705 473 501
736 742 759
447 964 643
565 540 246
529 734 562
551 537 206
460 685 363
534 297 369
883 121 935
591 296 475
355 560 468
923 719 367
558 744 63
104 197 280
488 239 387
235 621 967
180 685 983
783 460 613
193 494 173
6 33 809
246 954 677
262 512 854
429 389 354
146 105 159
365 371 617
845 30 952
292 425 999
993 800 971
577 929 125
209 196 198
941 523 753
66 327 232
249 989 818
412 292 765
387 703 79
685 518 346
959 123 941
1 723 151
654 32 685
88 919 295
882 579 357
217 309 316
370 650 621
706 645 533
888 507 107
757 566 716
423 922 493
447 594 612
104 204 739
216 390 39
196 888 231
590 123 512
95 571 243
811 449 671
882 81 486
743 778 395
964 754 545
510 918 346
839 834 26
220 511 179
111 205 928
131 460 609
710 342 979
43 37 113
685 611 531
7 902 47
230 810 293
945 958 269
766 867 495
382 753 618
205 947 352
616 662 922
79 110 530
874 290 944
103 483 113
858 85 472
549 831 73
605 178 831
239 953 112
402 975 294
990 737 993
520 11 430
651 438 701
698 572 954
165 822 221
692 777 810
123 95 625
326 972 578
310 778 464
646 944 113
228 135 398
102 466 353
319 40 428
543 903 924
451 726 286
197 817 222
870 326 211
272 861 641
475 870 743
993 741 999
97 435 618
777 952 802
690 169 144
174 46 611
306 350 453
695 71 687
92 371 589
480 149 580
141 58 186
232 299 356
626 878 651
179 517 523
199 292 95
127 859 647
979 584 576
903 316 645
64 323 577
137 179 503
819 30 241
840 484 121
142 587 203
280 231 324
312 935 488
418 626 338
693 232 833
853 958 799
198 802 259
54 616 532
322 849 322
165 769 114
205 980 409
296 944 46
264 836 419
563 479 717
691 274 254
753 512 406
898 123 581
103 445 847
8 158 590
120 899 874
654 287 301
486 525 179
197 1 759
474 499 100
807 407 915
534 894 396
813 230 640
227 172 384
82 268 203
724 675 55
108 780 270
949 834 614
733 96 764
589 219 527
98 569 30
816 953 585
139 911 350
285 90 842
30 600 404
531 85 635
143 982 837
974 181 581
904 97 306
807 97 664
100 231 910
740 341 167
732 47 589
715 756 582
712 863 389
827 673 546
208 557 240
62 472 629
869 936 48
928 892 216
564 333 100
390 474 749
490 587 735
287 711 113
588 379 143
733 947 100
827 143 907
993 558 948
43 355 631
616 926 340
85 676 436
379 331 814
90 778 636
111 112 274
79 318 786
763 267 251
591 844 5
753 203 366
980 755 633
529 71 173
914 46 817
801 516 721
275 558 11
956 725 339
739 223 414
823 911 815
27 830 563
174 654 783
873 818 526
467 55 791
746 144 703
747 806 21
697 507 876
380 198 616
219 157 608
400 593 80
20 986 531
111 342 582
331 740 520
261 965 202
117 187 848
410 221 782
737 279 108
692 257 49
514 618 402
930 823 516
127 315 168
110 353 897
238 847 945
493 573 756
640 766 962
783 30 921
375 498 757
56 226 107
33 450 893
831 613 827
935 289 621
758 655 420
868 760 457
496 182 976
832 192 130
528 737 727
885 335 915
186 48 522
823 556 901
775 224 962
385 139 412
404 145 763
655 14 913
540 915 294
509 461 6
976 590 382
581 910 885
194 573 352
477 513 453
401 893 825
471 758 896
436 404 35
367 10 127
426 911 765
80 598 802
874 257 622
358 182 176
285 846 505
13 329 908
732 871 339
955 274 280
481 9 756
38 339 639
39 419 392
101 965 95
545 58 764
581 721 828
32 467 465
86 154 262
162 756 827
826 136 585
847 861 325
540 891 305
356 386 608
451 699 802
88 159 921
586 100 984
938 751 679
997 334 772
536 29 266
809 193 191
901 912 482
812 314 133
482 126 389
157 885 907
880 83 218
405 856 256
642 665 61
644 88 496
833 875 402
725 19 671
856 478 337
488 707 699
990 356 631
412 881 620
180 758 47
924 466 125
881 490 51
754 120 627
129 763 243
915 996 186
803 628 755
942 268 835
229 570 612
718 887 6
672 227 235
400 820 648
629 147 118
137 366 668
902 381 459
572 537 383
310 46 506
332 562 463
862 426 417
425 126 963
757 472 593
968 484 996
820 401 912
63 967 898
440 755 939
516 796 419
205 578 489
294 840 577
613 272 5
775 1 674
388 261 680
562 760 858
157 767 1
963 820 291
433 993 662
503 905 104
215 84 720
179 623 892
660 892 812
75 308 665
590 863 593
829 764 462
452 938 155
228 193 655
210 436 426
160 22 957
269 460 727
72 301 385
992 89 72
629 289 429
574 482 884
730 16 798
559 577 84
229 302 95
121 992 19
582 354 880
360 573 272
568 695 386
806 635 545
687 424 787
293 87 252
538 972 260
133 995 765
558 267 656
300 962 687
655 695 40
414 3 793
959 560 71
643 810 180
478 252 831
354 397 943
84 147 539
711 438 852
599 454 34
769 984 165
98 741 808
720 908 717
455 724 496
203 263 365
441 16 293
279 106 302
82 815 297
122 445 589
268 940 488
547 224 918
183 718 638
700 947 843
629 720 35
631 716 164
134 172 122
762 141 952
954 882 402
713 200 257
802 977 455
931 664 998
396 674 684
642 349 654
255 200 382
148 195 652
519 897 581
940 602 810
541 298 480
155 403 626
103 467 580
820 359 34
956 294 137
676 889 177
933 629 804
146 361 120
20 584 771
628 741 758
810 662 478
388 609 77
557 629 269
889 433 625
357 68 599
901 673 274
12 609 602
984 786 73
895 495 105
788 869 856
524 630 494
480 625 941
634 232 478
686 545 404
806 780 951
393 337 69
269 510 799
487 304 489
398 226 19
146 11 368
374 873 742
349 251 447
441 906 559
703 870 499
135 47 437
176 932 271
209 759 834
452 177 378
878 248 638
219 269 769
699 80 262
440 78 198
25 334 930
298 916 293
460 907 406
707 496 842
29 729 730
195 209 30
450 548 678
928 593 491
458 901 131
112 464 253
186 545 272
599 872 764
315 387 833
803 456 131
308 508 699
662 125 849
673 637 280
371 801 370
352 403 135
392 15 462
506 790 672
986 692 944
331 2 778
793 115 616
975 970 895
905 650 786
835 626 815
730 324 176
552 177 78
381 441 514
848 747 583
867 757 655
331 550 486
614 68 661
373 367 197
375 592 530
215 426 318
654 69 148
747 421 978
729 946 607
755 942 577
368 156 443
352 422 604
354 877 839
795 177 931
331 966 591
30 36 793
547 922 977
38 361 448
78 741 584
412 376 820
695 606 219
658 337 381
345 391 465
877 422 365
608 966 122
610 566 55
204 779 453
334 675 618
406 124 147
335 965 275
31 476 242
779 121 72
696 985 470
53 917 19
688 714 209
645 230 303
350 116 223
8 672 474
369 635 338
407 215 375
191 620 983
842 654 638
324 950 199
605 306 737
75 143 888
934 657 133
353 980 203
852 506 429
778 262 77
12 193 553
345 543 225
853 404 986
147 273 156
479 123 563
18 182 106
279 992 262
322 290 760
89 648 50
453 482 936
58 953 195
771 901 911
4 541 145
973 577 159
809 20 690
108 422 541
74 857 351
915 133 708
683 481 159
154 560 589
784 978 889
216 127 682
734 400 246
290 48 204
71 526 363
560 104 559
662 919 41
807 330 19
149 832 749
743 902 963
320 632 664
580 49 717
949 868 83
396 932 238
190 541 860
256 255 334
188 108 1000
318 166 100
926 940 716
30 634 559
412 66 198
936 971 645
959 492 215
232 424 723
301 754 785
972 251 345
50 617 250
325 539 805
822 459 370
420 993 703
220 966 74
208 433 127
886 281 52
796 561 582
725 560 883
898 816 871
430 243 695
660 151 871
309 994 512
452 206 601
347 944 73
773 249 94
295 222 56
361 443 806
151 224 556
463 586 835
281 436 315
122 967 340
907 425 302
341 167 401
507 131 387
995 931 965
293 260 621
645 63 245
277 570 925
666 84 507
336 607 382
61 211 642
688 542 734
891 121 953
858 764 354
72 169 129
625 504 90
474 62 879
603 777 602
612 803 832
424 348 806
3 976 969
476 775 773
100 84 774
783 55 822
48 780 131
485 809 450
531 169 689
951 234 853
649 681 676
615 882 317
602 828 256
892 79 822
305 438 134
897 743 385
790 106 348
495 399 947
188 499 779
392 526 16
463 374 716
266 926 608
908 33 350
863 932 990
824 988 58
364 775 168
951 477 157
113 766 341
572 431 789
650 618 89
244 71 288
238 858 521
542 255 198
466 380 923
448 159 55
457 470 200
163 251 799
419 325 872
572 773 947
404 698 247
645 516 809
614 136 641
689 901 818
856 101 23
930 226 449
698 223 62
881 149 383
627 354 236
719 839 723
333 723 947
225 902 764
137 56 603
728 885 423
503 39 501
267 230 796
362 680 764
91 506 952
238 741 950
556 160 841
667 431 824
647 710 385
45 527 739
464 285 17
484 720 14
340 746 623
52 617 620
46 47 50
766 390 160
117 594 640
171 467 775
981 590 155
911 492 17
636 639 424
140 769 972
675 838 384
288 591 844
70 454 373
110 627 122
271 323 888
679 326 792
77 560 173
963 69 816
742 84 477
381 295 89
20 267 243
939 271 353
364 599 43
971 12 982
592 327 447
811 589 223
976 81 620
81 168 669
651 313 358
962 723 590
994 597 455
46 542 706
948 159 112
638 553 63
92 483 942
881 547 564
556 740 728
409 15 746
66 549 867
767 383 491
688 266 518
15 177 148
290 624 251
96 85 60
750 894 121
295 259 731
5 582 428
561 832 346
763 396 343
141 134 575
164 919 681
202 577 429
95 451 177
281 374 878
65 33 919
684 375 609
761 838 122
436 534 414
291 269 505
989 446 207
419 791 194
846 473 887
781 316 262
794 30 585
69 53 421
24 934 964
111 590 699
745 973 600
136 291 215
82 854 424
67 556 331
621 952 417
359 353 380
15 788 964
969 758 637
55 706 227
987 243 115
757 830 342
846 684 898
614 665 913
337 180 873
671 420 980
67 240 916
798 66 87
801 672 433
931 753 711
567 248 636
897 304 321
130 432 832
259 930 209
352 181 234
980 554 297
596 672 918
861 851 140
711 167 18
0 651 132
383 920 10
224 895 92
633 98 41
903 107 824
581 258 28
356 766 108
655 762 626
44 331 651
563 319 250
222 3 264
128 644 509
427 981 580
191 369 904
602 40 225
641 137 432
473 559 760
537 277 897
663 365 608
938 611 663
298 137 799
173 779 122
597 942 568
854 788 19
449 696 340
728 616 957
195 515 700
444 834 680
860 426 100
737 827 892
844 633 228
521 476 461
260 368 45
704 401 549
904 702 960
891 574 694
196 664 62
32 617 911
71 584 993
532 942 779
916 347 558
486 952 24
167 227 491
353 598 1
770 912 36
693 961 780
309 20 63
273 660 941
596 133 655
402 509 820
96 304 383
497 502 478
478 144 173
758 957 640
924 173 952
709 87 989
482 626 728
994 796 161
179 648 358
36 842 215
42 836 34
663 785 322
321 462 934
21 137 606
783 582 940
571 913 1000
788 649 607
366 46 672
42 983 7
117 679 594
99 100 361
320 642 456
505 368 31
89 446 6
995 975 831
769 858 969
183 374 62
811 937 288
855 684 787
428 708 730
781 48 25
505 788 858
16 633 476
846 534 86
738 855 842
706 430 798
689 294 476
670 453 869
160 596 452
286 291 737
161 141 159
658 654 667
181 194 623
241 788 867
662 544 806
520 361 694
243 876 54
561 473 825
727 993 139
376 225 973
70 655 226
678 499 495
697 343 386
552 889 305
274 589 437
439 880 531
865 732 467
469 132 314
316 432 449
154 23 415
29 756 49
493 760 944
106 780 495
857 716 614
161 495 848
18 304 906
147 44 167
657 141 246
649 805 826
671 158 302
999 34 614
254 495 374
965 629 272
537 383 601
475 632 943
318 776 511
67 95 532
819 571 615
787 544 818
147 778 646
848 722 518
595 30 850
814 256 925
779 359 736
763 122 297
692 54 860
253 190 231
326 284 293
756 704 436
832 555 65
652 740 695
619 174 669
50 338 669
963 363 429
669 499 259
138 912 265
927 656 329
567 482 265
312 536 832
995 590 261
637 289 548
648 381 201
288 950 888
530 645 302
19 220 703
166 486 198
707 545 724
448 199 966
821 445 339
898 499 594
391 375 7
526 229 933
533 869 947
394 587 534
872 527 173
600 201 325
322 486 930
786 908 349
456 908 424
492 988 974
865 909 87
57 184 373
347 857 393
674 268 286
539 227 537
351 716 869
229 15 382
68 310 108
857 916 873
483 311 692
930 431 375
127 222 559
717 885 214
341 133 164
790 474 602
338 44 417
820 66 246
306 5 519
714 339 239
291 939 385
255 122 646
718 838 383
57 922 175
496 667 268
727 571 695
619 338 318
268 572 686
197 445 510
785 461 37
58 78 348
518 648 225
759 842 605
461 462 433
686 324 840
176 744 454
687 70 641
379 518 8
307 79 823
643 939 780
2 483 340
384 42 369
700 59 122
897 155 793
80 238 948
23 838 558
28 760 962
488 142 983
983 318 210
255 402 591
948 699 704
55 668 351
882 632 834
796 323 985
890 95 747
670 881 947
712 744 147
893 226 68
604 154 283
308 978 354
75 434 944
313 86 971
153 919 557
299 103 864
853 36 981
265 801 965
162 991 761
441 383 565
970 563 491
76 147 873
212 974 841
204 869 182
460 50 405
103 60 150
969 531 90
185 663 875
112 465 463
60 767 373
756 588 829
530 909 98
499 307 434
101 555 45
744 705 623
706 768 590
730 758 831
678 212 336
420 535 482
277 549 304
298 890 284
392 934 299
279 550 176
299 857 703
375 888 427
875 262 134
951 174 359
664 594 242
202 561 426
857 568 945
461 367 313
523 643 25
798 509 889
601 167 33
266 327 903
992 266 480
159 760 824
555 175 87
460 41 879
691 226 148
192 892 816
826 655 469
651 253 834
92 507 801
622 830 487
454 523 680
608 46 639
467 909 737
555 60 901
593 596 309
206 262 791
25 826 390
559 203 116
65 808 93
378 273 779
969 850 203
180 722 827
970 836 475
166 435 7
314 280 906
975 502 261
261 383 184
743 992 653
725 373 290
301 622 973
987 557 785
834 146 219
73 8 402
329 604 591
366 108 193
593 216 808
314 94 669
903 138 322
928 430 805
523 696 163
970 98 756
163 280 468
972 927 183
93 690 882
97 601 122
884 163 873
559 489 93
728 922 551
177 180 246
69 531 107
125 1 20
35 210 681
420 280 532
295 299 926
685 276 511
387 721 54
561 270 492
301 982 724
31 619 734
432 779 617
142 991 274
949 469 851
343 897 645
24 69 542
916 327 708
361 25 710
583 284 975
431 391 40
452 579 958
750 366 240
821 710 350
128 894 999
420 639 919
275 436 827
612 830 673
630 772 618
868 989 814
941 76 452
411 123 538
193 940 623
497 803 414
624 766 627
649 799 623
236 697 292
129 68 52
992 492 327
518 35 398
479 372 481
510 442 249
416 597 925
988 458 464
85 779 141
47 68 593
14 439 475
628 762 35
152 711 860
579 365 291
318 643 465
936 315 419
649 367 435
527 384 927
358 640 46
566 101 612
235 256 780
237 977 301
38 215 933
446 287 137
742 465 798
424 196 235
893 859 644
841 429 535
677 484 363
491 228 310
473 625 722
365 376 724
580 795 777
246 976 817
914 870 624
747 506 14
259 862 259
996 386 804
509 526 42
742 103 608
973 191 423
4 225 461
906 831 1000
338 224 198
377 459 371
487 449 827
464 909 787
536 197 628
866 129 400
830 491 251
997 751 974
373 490 351
266 916 432
304 303 449
851 748 877
37 515 870
648 419 555
689 632 487
704 757 394
9 980 766
561 743 129
889 792 313
343 162 535
628 554 302
169 337 926
918 636 275
544 446 735
449 768 230
638 24 887
417 831 342
804 445 781
736 918 710
365 258 502
432 822 638
750 416 699
248 165 382
795 714 114
230 469 451
359 857 48
906 658 899
345 704 733
324 940 590
310 715 319
235 500 815
136 250 756
744 111 132
362 427 387
380 395 800
165 369 353
673 615 607
332 486 292
151 105 277
840 74 883
635 135 241
271 10 303
900 226 984
108 202 259
792 95 732
873 234 94
278 665 505
923 353 177
618 874 337
668 665 427
72 619 984
663 240 190
36 14 907
897 350 717
858 964 103
950 351 746
707 902 187
522 443 290
675 794 644
678 78 97
566 256 634
624 906 660
550 78 716
143 556 9
297 591 373
962 927 647
200 412 564
637 74 739
726 761 394
850 164 258
17 674 792
109 60 499
954 363 311
242 521 509
223 633 306
741 545 163
300 604 129
764 504 871
507 769 199
513 598 487
516 360 494
276 450 940
593 640 301
442 54 727
189 554 159
776 778 911
118 165 505
259 106 843
410 520 902
801 467 26
430 591 16
234 308 578
470 61 425
308 136 618
626 328 412
953 55 322
613 509 17
258 580 971
775 41 991
634 949 848
912 809 578
892 944 441
326 481 926
219 57 55
609 206 823
828 424 343
573 790 860
453 86 266
714 33 762
248 621 844
793 396 409
462 359 974
780 592 570
124 378 751
586 317 465
415 661 250
968 645 829
401 689 717
754 631 381
577 470 304
209 156 277
227 717 53
907 620 799
640 52 665
52 382 381
215 898 609
54 622 232
399 203 510
790 745 28
259 371 314
107 208 572
522 695 18
262 236 557
987 957 385
212 305 917
636 742 111
602 946 689
159 380 185
880 637 285
398 703 555
292 134 701
422 998 655
79 515 851
797 746 485
814 177 975
525 112 188
641 595 365
586 571 998
290 537 238
116 914 879
3 785 405
725 888 386
548 305 76
527 153 85
367 650 31
741 595 631
836 684 79
302 591 820
862 973 715
552 380 355
260 82 164
125 494 110
91 548 295
454 463 381
94 728 619
935 386 434
951 627 662
603 655 577
303 670 472
342 26 152
329 508 688
864 209 791
845 401 72
732 292 665
43 468 313
405 805 603
317 131 560
819 193 904
324 459 259
403 499 286
386 329 519
709 491 17
747 182 898
782 870 521
659 952 292
296 417 514
110 207 904
386 504 40
615 680 921
277 60 436
